Designator,Mid X,Mid Y,Rotation,Layer
C1,195.53,-112.12,270.0,top
C10,164.7836,-42.29215,180.0,top
C11,144.0826,-43.05415,270.0,top
C12,140.7025,-83.64075,270.0,top
C13,56.162,-57.39475,180.0,top
C14,54.358,-70.16075,270.0,top
C15,172.4696,-45.59415,0.0,top
C16,172.495,-67.38735,0.0,top
C17,172.4696,-76.45515,0.0,top
C18,235.166,-56.895,270.0,top
C19,233.642,-74.548,270.0,top
C2,157.22026,-97.421,180.0,top
C20,195.18,-60.91,90.0,top
C21,195.22,-81.4,90.0,top
C22,76.924,-67.62675,270.0,top
C23,56.162,-59.68075,180.0,top
C24,216.624,-79.313,90.0,top
C25,216.624,-66.74,90.0,top
C26,178.30226,-112.407,180.0,top
C27,243.53,-112.12,270.0,top
C28,205.22026,-97.421,180.0,top
C29,215.63426,-97.421,180.0,top
C3,167.63426,-97.421,180.0,top
C30,225.91626,-97.423,180.0,top
C31,205.22026,-112.407,180.0,top
C32,216.01026,-112.409,180.0,top
C33,226.30226,-112.407,180.0,top
C34,147.455,-112.12,270.0,top
C35,109.14526,-97.421,180.0,top
C36,119.55926,-97.421,180.0,top
C37,129.84126,-97.423,180.0,top
C38,109.14526,-112.407,180.0,top
C39,119.93526,-112.409,180.0,top
C4,177.91626,-97.423,180.0,top
C40,130.22726,-112.407,180.0,top
C41,99.53,-112.12,270.0,top
C42,61.22026,-97.421,180.0,top
C43,71.63426,-97.421,180.0,top
C44,81.91626,-97.423,180.0,top
C45,55.539395,-47.8785,180.0,top
C46,61.22026,-112.407,180.0,top
C47,72.01026,-112.409,180.0,top
C48,82.30226,-112.407,180.0,top
C49,95.3506,-58.48625,180.0,top
C5,157.22026,-112.407,180.0,top
C50,146.2855,-48.67775,90.0,top
C51,150.1176,-79.75715,0.0,top
C52,167.0696,-80.01115,0.0,top
C53,167.0696,-64.00915,0.0,top
C6,168.01026,-112.409,180.0,top
C7,69.01,-89.6625,0.0,top
C8,62.218,-89.6625,180.0,top
C9,87.084,-59.72275,90.0,top
D1,222.49,-69.1,180.0,top
D2,70.32,-38.414,180.0,top
D3,82.3,-39.07,270.0,top
J1,53.0,-97.34,0.0,top
J10,233.682,-36.956,0.0,top
J11,96.7872,-37.56745,90.0,top
J2,70.22367,-34.629,270.0,top
J4,162.806,-37.850645,90.0,top
J5,81.071,-34.54325,90.0,top
J6,213.7284,-37.6418,90.0,top
J7,58.664,-39.024,180.0,top
R1,164.07526,-97.419,180.0,top
R10,159.325,-119.0,0.0,top
R11,173.825,-119.0,0.0,top
R12,189.325,-119.0,0.0,top
R13,57.874,-55.36275,180.0,top
R14,56.287,-61.71275,180.0,top
R15,83.679,-89.6625,0.0,top
R16,61.05,-59.55575,0.0,top
R17,72.163,-59.55575,0.0,top
R18,79.972,-60.78375,270.0,top
R19,66.764,-60.52975,270.0,top
R2,174.23526,-97.421,180.0,top
R20,65.748,-68.53175,270.0,top
R21,161.281,-42.37095,180.0,top
R22,156.4455,-44.61575,270.0,top
R23,145.8494,-75.05815,180.0,top
R24,144.0826,-39.05415,270.0,top
R25,137.1616,-78.36015,0.0,top
R26,137.4146,-84.71015,0.0,top
R27,181.1026,-48.26115,180.0,top
R28,181.3566,-69.59715,180.0,top
R29,180.9766,-89.40915,180.0,top
R3,184.77626,-97.423,180.0,top
R30,172.3822,-84.8885,90.0,top
R31,198.336,-60.959,270.0,top
R32,197.956,-82.422,270.0,top
R33,208.14,-83.25,90.0,top
R34,211.929,-81.152,0.0,top
R35,220.243,-63.626,0.0,top
R36,222.335,-86.232,0.0,top
R37,207.734,-73.977,90.0,top
R38,219.546,-60.515,270.0,top
R39,207.734,-70.23,90.0,top
R4,163.88526,-112.407,180.0,top
R40,226.12,-81.805,90.0,top
R41,212.07526,-97.419,180.0,top
R42,222.23526,-97.421,180.0,top
R43,232.77626,-97.423,180.0,top
R44,211.88526,-112.407,180.0,top
